"","Estacao","Data","value"
"692","RD035",2020 jun,34.5
"693","RD035",2020 jul,22.3
"694","RD035",2020 ago,33.1
"695","RD035",2020 set,14.6
"696","RD035",2020 out,15.7
"697","RD035",2020 nov,90.7
"698","RD035",2020 dez,192
"699","RD035",2021 jan,170
"700","RD035",2021 fev,283
"701","RD035",2021 mar,192
"702","RD035",2021 abr,37.5
"703","RD035",2021 mai,30.2
"704","RD035",2021 jun,71.2
"705","RD035",2021 jul,8.48
"706","RD035",2021 ago,30.9
"707","RD035",2021 set,12.8
"708","RD035",2021 out,48.3
"709","RD035",2021 nov,1836
"710","RD035",2021 dez,260
"711","RD035",2022 jan,201
"712","RD035",2022 fev,814
"713","RD035",2022 mar,97.9
"714","RD035",2022 abr,125
"715","RD035",2022 mai,67.1
"716","RD035",2022 jun,37.6
"717","RD044",2000 fev,168
"718","RD044",2000 mai,55.5
"719","RD044",2000 ago,21
"720","RD044",2000 out,12.1
"721","RD044",2001 fev,29.8
"722","RD044",2001 mai,24.3
"723","RD044",2001 ago,11.7
"724","RD044",2001 out,97.5
"725","RD044",2002 fev,265
"726","RD044",2002 abr,42.2
"727","RD044",2002 ago,14.1
"728","RD044",2002 out,86.4
"729","RD044",2003 fev,72.8
"730","RD044",2003 mai,29.9
"731","RD044",2003 jul,11.1
"732","RD044",2003 out,794
"733","RD044",2004 jan,186
"734","RD044",2004 abr,115
"735","RD044",2004 jul,38.8
"736","RD044",2004 out,24.7
"737","RD044",2005 jan,293
"738","RD044",2005 abr,93.1
"739","RD044",2005 jul,19.8
"740","RD044",2005 out,41.6
"741","RD044",2006 jan,38.7
"742","RD044",2006 abr,28
"743","RD044",2006 jul,8.84
"744","RD044",2006 out,18.2
"745","RD044",2007 jan,261
"746","RD044",2007 abr,45.4
"747","RD044",2007 jul,12.8
"748","RD044",2007 out,9.88
"749","RD044",2008 jan,56.1
"750","RD044",2008 abr,208
"751","RD044",2008 jul,9.02
"752","RD044",2008 out,14.9
"753","RD044",2009 jan,206
"754","RD044",2009 abr,115
"755","RD044",2009 jul,12.5
"756","RD044",2009 out,28.4
"757","RD044",2010 jan,22.2
"758","RD044",2010 abr,25.2
"759","RD044",2010 jul,8.22
"760","RD044",2010 out,7.12
"761","RD044",2011 jan,44.2
"762","RD044",2011 abr,54.6
"763","RD044",2011 jul,8.94
"764","RD044",2011 out,7.92
"765","RD044",2012 jan,72.4
"766","RD044",2012 abr,48.1
"767","RD044",2012 jul,10.7
"768","RD044",2012 out,8.09
"769","RD044",2013 jan,217
"770","RD044",2013 abr,76.4
"771","RD044",2013 jun,13
"772","RD044",2013 jul,13.9
"773","RD044",2013 ago,6.68
"774","RD044",2013 set,6.02
"775","RD044",2013 out,31.2
"776","RD044",2013 nov,35.1
"777","RD044",2013 dez,40.9
"778","RD044",2014 jan,30.9
"779","RD044",2014 fev,17.8
"780","RD044",2014 mar,71.9
"781","RD044",2014 abr,36.1
"782","RD044",2014 mai,6.4
"783","RD044",2014 jun,5.9
"784","RD044",2014 jul,4.39
"785","RD044",2014 ago,3.31
"786","RD044",2014 set,3.49
"787","RD044",2014 out,3
"788","RD044",2014 nov,82
"789","RD044",2014 dez,80.4
"790","RD044",2015 jan,7.77
"791","RD044",2015 fev,18.4
"792","RD044",2015 mar,20.3
"793","RD044",2015 abr,10.1
"794","RD044",2015 mai,7.54
"795","RD044",2015 jun,4.82
"796","RD044",2015 jul,3.23
"797","RD044",2015 ago,2.56
"798","RD044",2015 set,2.69
"799","RD044",2015 out,2.28
"800","RD044",2015 dez,3277
"801","RD044",2016 jan,3640
"802","RD044",2016 mar,191
"803","RD044",2016 abr,53.5
"804","RD044",2016 mai,32
"805","RD044",2016 jun,32.8
"806","RD044",2016 jul,22.8
"807","RD044",2016 ago,19.7
"808","RD044",2016 set,63.9
"809","RD044",2016 out,29.7
"810","RD044",2016 nov,18.8
"811","RD044",2016 dez,176
"812","RD044",2017 jan,156
"813","RD044",2017 fev,81.6
"814","RD044",2017 jul,7.34
"815","RD044",2017 ago,15.4
"816","RD044",2017 set,7.02
"817","RD044",2017 out,4.6
"818","RD044",2017 nov,73.1
"819","RD044",2017 dez,3849
"820","RD044",2018 jan,35.3
"821","RD044",2018 fev,694
"822","RD044",2018 mar,235
"823","RD044",2018 abr,59.6
"824","RD044",2018 mai,13.1
"825","RD044",2018 jun,12.4
"826","RD044",2018 jul,6.9
"827","RD044",2018 ago,8.44
"828","RD044",2018 set,10.2
"829","RD044",2018 out,9.47
"830","RD044",2018 nov,39.7
"831","RD044",2018 dez,147
"832","RD044",2019 jan,15.4
"833","RD044",2019 fev,53.7
"834","RD044",2019 mar,94.1
"835","RD044",2019 abr,35.9
"836","RD044",2019 mai,14.7
"837","RD044",2019 jun,7.74
"838","RD044",2019 jul,8.34
"839","RD044",2019 ago,4.07
"840","RD044",2019 set,7.34
"841","RD044",2019 out,5.37
"842","RD044",2019 nov,9.37
"843","RD044",2019 dez,177
"844","RD044",2020 jan,154
"845","RD044",2020 fev,117
"846","RD044",2020 mar,461
"847","RD044",2020 mai,61.6
"848","RD044",2020 jun,30.6
"849","RD044",2020 jul,8.38
"850","RD044",2020 ago,7.21
"851","RD044",2020 set,8.15
"852","RD044",2020 out,27.2
"853","RD044",2020 nov,56.9
"854","RD044",2020 dez,110
"855","RD044",2021 jan,34.7
"856","RD044",2021 fev,324
"857","RD044",2021 mar,84.8
"858","RD044",2021 abr,22.7
"859","RD044",2021 mai,8.9
"860","RD044",2021 jun,7.05
"861","RD044",2021 jul,6.9
"862","RD044",2021 ago,6.6
"863","RD044",2021 set,7.83
"864","RD044",2021 out,50.9
"865","RD044",2021 nov,127
"866","RD044",2021 dez,191
"867","RD044",2022 jan,204
"868","RD044",2022 fev,710
"869","RD044",2022 mar,73.4
"870","RD044",2022 abr,36.5
"871","RD044",2022 mai,36.2
"872","RD044",2022 jun,14.6
"873","RD045",1997 jul,15
"874","RD045",1997 nov,30
"875","RD045",1998 mar,25
"876","RD045",1998 ago,5.05
"877","RD045",1998 nov,133
"878","RD045",1999 mar,61.1
"879","RD045",1999 mai,15.3
"880","RD045",1999 ago,9.67
"881","RD045",1999 nov,444
"882","RD045",2000 fev,143
"883","RD045",2000 mai,42.2
"884","RD045",2000 ago,12.3
"885","RD045",2000 out,7.77
"886","RD045",2001 fev,30.9
"887","RD045",2001 mai,15.3
"888","RD045",2001 ago,9.11
"889","RD045",2001 out,48.9
"890","RD045",2002 fev,243
"891","RD045",2002 abr,41.2
"892","RD045",2002 ago,14.8
"893","RD045",2002 out,25.1
"894","RD045",2003 fev,110
"895","RD045",2003 mai,49
"896","RD045",2003 jul,17.9
"897","RD045",2003 out,149
"898","RD045",2004 jan,797
"899","RD045",2004 mai,77.8
"900","RD045",2004 jul,59
"901","RD045",2004 out,18.7
"902","RD045",2005 jan,166
"903","RD045",2005 abr,77.5
"904","RD045",2005 jul,15.6
"905","RD045",2005 out,34.1
"906","RD045",2006 jan,43.3
"907","RD045",2006 abr,36.4
"908","RD045",2006 jul,12
"909","RD045",2006 out,35.8
"910","RD045",2007 jan,594
"911","RD045",2007 abr,43.4
"912","RD045",2007 jul,14.2
"913","RD045",2007 out,7.78
"914","RD045",2008 jan,73.3
"915","RD045",2008 abr,234
"916","RD045",2008 jul,13.8
"917","RD045",2008 out,15.3
"918","RD045",2009 jan,319
"919","RD045",2009 abr,135
"920","RD045",2009 jul,15.7
"921","RD045",2009 out,33.6
"922","RD045",2010 jan,21.5
"923","RD045",2010 abr,28.6
"924","RD045",2010 jul,6.27
"925","RD045",2010 out,11.6
"926","RD045",2011 jan,52.1
"927","RD045",2011 abr,58.1
"928","RD045",2011 jul,11.1
"929","RD045",2011 out,7.14
"930","RD045",2012 jan,21.4
"931","RD045",2012 abr,43.2
"932","RD045",2012 jul,13.7
"933","RD045",2012 out,7.08
"934","RD045",2013 jan,233
"935","RD045",2013 abr,78
"936","RD045",2013 jun,15.3
"937","RD045",2013 jul,9.61
"938","RD045",2013 ago,6.49
"939","RD045",2013 set,8.11
"940","RD045",2013 out,37.2
"941","RD045",2013 nov,33.1
"942","RD045",2013 dez,46.9
"943","RD045",2014 jan,38.7
"944","RD045",2014 fev,20.6
"945","RD045",2014 mar,71.1
"946","RD045",2014 abr,54.4
"947","RD045",2014 mai,7.2
"948","RD045",2014 jun,6.3
"949","RD045",2014 jul,4.11
"950","RD045",2014 ago,3.73
"951","RD045",2014 set,3.16
"952","RD045",2014 out,0.5
"953","RD045",2014 nov,90.7
"954","RD045",2014 dez,75.3
"955","RD045",2015 jan,9.59
"956","RD045",2015 fev,15.6
"957","RD045",2015 mar,16.8
"958","RD045",2015 abr,16.8
"959","RD045",2015 mai,8.15
"960","RD045",2015 jun,4.78
"961","RD045",2015 jul,3.84
"962","RD045",2015 ago,2.57
"963","RD045",2015 set,3.72
"964","RD045",2015 out,2.77
"965","RD045",2015 dez,4236
"966","RD045",2016 jan,4672
"967","RD045",2016 mar,232
"968","RD045",2016 abr,41.5
"969","RD045",2016 mai,29.9
"970","RD045",2016 jun,27.4
"971","RD045",2016 jul,14.8
"972","RD045",2016 ago,11.1
"973","RD045",2016 set,51.9
"974","RD045",2016 out,28.4
"975","RD045",2016 nov,20.2
"976","RD045",2016 dez,208
"977","RD045",2017 jan,222
"978","RD045",2017 fev,39.9
"979","RD045",2017 jul,4.62
"980","RD045",2017 ago,9.05
"981","RD045",2017 set,6.16
"982","RD045",2017 out,6.94
"983","RD045",2017 nov,79.9
"984","RD045",2017 dez,1449
"985","RD045",2018 jan,41.6
"986","RD045",2018 fev,674
"987","RD045",2018 mar,230
"988","RD045",2018 abr,73.4
"989","RD045",2018 mai,13.2
"990","RD045",2018 jun,10.7
"991","RD045",2018 jul,4.7
"992","RD045",2018 ago,9.57
"993","RD045",2018 set,19.3
"994","RD045",2018 out,11.5
"995","RD045",2018 nov,31.7
"996","RD045",2018 dez,164
"997","RD045",2019 jan,14.3
"998","RD045",2019 fev,44.4
"999","RD045",2019 mar,104
"1000","RD045",2019 abr,34.7
"1001","RD045",2019 mai,13.7
"1002","RD045",2019 jun,7.07
"1003","RD045",2019 jul,5.21
"1004","RD045",2019 ago,3.03
"1005","RD045",2019 set,6.94
"1006","RD045",2019 out,5.17
"1007","RD045",2019 nov,10.4
"1008","RD045",2019 dez,204
"1009","RD045",2020 jan,173
"1010","RD045",2020 fev,120
"1011","RD045",2020 mar,463
"1012","RD045",2020 mai,33.4
"1013","RD045",2020 jun,28.3
"1014","RD045",2020 jul,9.66
"1015","RD045",2020 ago,7.37
"1016","RD045",2020 set,5.48
"1017","RD045",2020 out,22.4
"1018","RD045",2020 nov,46.9
"1019","RD045",2020 dez,126
"1020","RD045",2021 jan,36.5
"1021","RD045",2021 fev,251
"1022","RD045",2021 mar,87.1
"1023","RD045",2021 abr,23.1
"1024","RD045",2021 mai,12.6
"1025","RD045",2021 jun,7.4
"1026","RD045",2021 jul,7.38
"1027","RD045",2021 ago,4.44
"1028","RD045",2021 set,4.54
"1029","RD045",2021 out,104
"1030","RD045",2021 nov,214
"1031","RD045",2021 dez,192
"1032","RD045",2022 jan,186
"1033","RD045",2022 fev,771
"1034","RD045",2022 mar,86.6
"1035","RD045",2022 abr,51.8
"1036","RD045",2022 mai,38
"1037","RD045",2022 jun,14.5
"1038","RD053",1997 set,9
"1039","RD053",1997 nov,20
"1040","RD053",1998 ago,6.46
"1041","RD053",1998 nov,127
"1042","RD053",1999 mar,55.6
"1043","RD053",1999 mai,14.7
"1044","RD053",1999 ago,4.58
"1045","RD053",1999 nov,496
"1046","RD053",2000 fev,231
"1047","RD053",2000 mai,46
"1048","RD053",2000 ago,6.44
"1049","RD053",2000 out,7.64
"1050","RD053",2001 fev,27.9
"1051","RD053",2001 mai,15.6
"1052","RD053",2001 ago,12.3
"1053","RD053",2001 out,64.6
"1054","RD053",2002 fev,247
"1055","RD053",2002 abr,38.4
"1056","RD053",2002 ago,16.9
"1057","RD053",2002 out,23.9
"1058","RD053",2003 fev,115
"1059","RD053",2003 mai,21.3
"1060","RD053",2003 jul,12.7
"1061","RD053",2003 out,161
"1062","RD053",2004 jan,560
"1063","RD053",2004 mai,91
"1064","RD053",2004 jul,60
"1065","RD053",2004 out,15.4
"1066","RD053",2005 jan,222
"1067","RD053",2005 abr,78.5
"1068","RD053",2005 jul,22.4
"1069","RD053",2005 out,29.9
"1070","RD053",2006 jan,77.7
"1071","RD053",2006 abr,84.2
"1072","RD053",2006 jul,19.3
"1073","RD053",2006 out,19.8
"1074","RD053",2007 jan,480
"1075","RD053",2007 abr,51.3
"1076","RD053",2007 jul,13.2
"1077","RD053",2007 out,9.73
"1078","RD053",2008 jan,84
"1079","RD053",2008 abr,280
"1080","RD053",2008 jul,11.5
"1081","RD053",2008 out,12.1
"1082","RD053",2009 jan,398
"1083","RD053",2009 abr,150
"1084","RD053",2009 jul,22.8
"1085","RD053",2009 out,24.7
"1086","RD053",2010 fev,21.5
"1087","RD053",2010 abr,23.9
"1088","RD053",2010 jul,10.3
"1089","RD053",2010 out,9.01
"1090","RD053",2011 jan,50.1
"1091","RD053",2011 abr,51.7
"1092","RD053",2011 jul,11.2
"1093","RD053",2011 out,20.8
"1094","RD053",2012 jan,41.6
"1095","RD053",2012 abr,35.2
"1096","RD053",2012 jul,7.94
"1097","RD053",2012 out,22.8
"1098","RD053",2013 jan,70.1
"1099","RD053",2013 abr,50.8
"1100","RD053",2013 jun,15.5
"1101","RD053",2013 jul,6.19
"1102","RD053",2013 ago,7.31
"1103","RD053",2013 set,6.66
"1104","RD053",2013 out,20.3
"1105","RD053",2013 nov,36.6
"1106","RD053",2013 dez,43.1
"1107","RD053",2014 jan,39.6
"1108","RD053",2014 fev,21.7
"1109","RD053",2014 mar,82.2
"1110","RD053",2014 abr,24.8
"1111","RD053",2014 mai,5.84
"1112","RD053",2014 jun,6.18
"1113","RD053",2014 jul,4.44
"1114","RD053",2014 ago,2.68
"1115","RD053",2014 set,2.37
"1116","RD053",2014 out,2.48
"1117","RD053",2014 nov,97.4
"1118","RD053",2014 dez,58.3
"1119","RD053",2015 jan,6.65
"1120","RD053",2015 fev,13.6
"1121","RD053",2015 mar,19.1
"1122","RD053",2015 abr,9.79
"1123","RD053",2015 mai,21.3
"1124","RD053",2015 jun,4.01
"1125","RD053",2015 jul,3.9
"1126","RD053",2015 ago,4.16
"1127","RD053",2015 set,3.63
"1128","RD053",2015 out,1.83
"1129","RD053",2016 jan,4200
"1130","RD053",2016 mar,202
"1131","RD053",2016 abr,48.8
"1132","RD053",2016 mai,24.6
"1133","RD053",2016 jun,19.8
"1134","RD053",2016 jul,10.5
"1135","RD053",2016 ago,8.04
"1136","RD053",2016 set,43.7
"1137","RD053",2016 out,19.7
"1138","RD053",2016 nov,5.73
"1139","RD053",2016 dez,380
"1140","RD053",2017 jan,85.3
"1141","RD053",2017 fev,42.8
"1142","RD053",2017 jul,4
"1143","RD053",2017 ago,5.36
"1144","RD053",2017 set,4.78
"1145","RD053",2017 out,7.92
"1146","RD053",2017 nov,141
"1147","RD053",2017 dez,2401
"1148","RD053",2018 jan,27.5
"1149","RD053",2018 fev,364
"1150","RD053",2018 mar,190
"1151","RD053",2018 abr,56
"1152","RD053",2018 mai,19.3
"1153","RD053",2018 jun,9.87
"1154","RD053",2018 jul,4.7
"1155","RD053",2018 ago,7.94
"1156","RD053",2018 set,4.87
"1157","RD053",2018 out,21.1
"1158","RD053",2018 nov,38.1
"1159","RD053",2018 dez,130
"1160","RD053",2019 jan,12.1
"1161","RD053",2019 fev,164
"1162","RD053",2019 mar,117
"1163","RD053",2019 abr,40.7
"1164","RD053",2019 mai,12.1
"1165","RD053",2019 jun,6.17
"1166","RD053",2019 jul,3.87
"1167","RD053",2019 ago,2.14
"1168","RD053",2019 set,5.7
"1169","RD053",2019 out,2.83
"1170","RD053",2019 nov,23.4
"1171","RD053",2019 dez,213
"1172","RD053",2020 jan,925
"1173","RD053",2020 fev,143
"1174","RD053",2020 mar,329
"1175","RD053",2020 mai,37.4
"1176","RD053",2020 jun,33.1
"1177","RD053",2020 jul,12.3
"1178","RD053",2020 ago,7.42
"1179","RD053",2020 set,5.71
"1180","RD053",2020 out,19.3
"1181","RD053",2020 nov,47
"1182","RD053",2020 dez,158
"1183","RD053",2021 jan,30.3
"1184","RD053",2021 fev,172
"1185","RD053",2021 mar,129
"1186","RD053",2021 abr,23.7
"1187","RD053",2021 mai,13.4
"1188","RD053",2021 jun,7.08
"1189","RD053",2021 jul,3.69
"1190","RD053",2021 ago,3.53
"1191","RD053",2021 set,3.92
"1192","RD053",2021 out,90.3
"1193","RD053",2021 nov,1064
"1194","RD053",2021 dez,191
"1195","RD053",2022 jan,124
"1196","RD053",2022 fev,339
"1197","RD053",2022 mar,73.6
"1198","RD053",2022 abr,57.9
"1199","RD053",2022 mai,38.3
"1200","RD053",2022 jun,16.8
"1201","RD058",2000 fev,242
"1202","RD058",2000 mai,56.7
"1203","RD058",2000 ago,10.7
"1204","RD058",2000 out,7.68
"1205","RD058",2001 fev,27.4
"1206","RD058",2001 mai,12.9
"1207","RD058",2001 ago,13.5
"1208","RD058",2001 out,60.1
"1209","RD058",2002 fev,281
"1210","RD058",2002 abr,45.7
"1211","RD058",2002 ago,17.1
"1212","RD058",2002 out,31.3
"1213","RD058",2003 fev,182
"1214","RD058",2003 mai,20.8
"1215","RD058",2003 jul,10.8
"1216","RD058",2003 out,258
"1217","RD058",2004 jan,391
"1218","RD058",2004 mai,92.5
"1219","RD058",2004 jul,53.5
"1220","RD058",2004 out,15.3
"1221","RD058",2005 jan,209
"1222","RD058",2005 abr,101
"1223","RD058",2005 jul,26.3
"1224","RD058",2005 out,40.6
"1225","RD058",2006 jan,44.4
"1226","RD058",2006 abr,19.9
"1227","RD058",2006 jul,12.5
"1228","RD058",2006 out,13.1
"1229","RD058",2007 jan,417
"1230","RD058",2007 abr,58.9
"1231","RD058",2007 jul,17.6
"1232","RD058",2007 out,9.9
"1233","RD058",2008 jan,170
"1234","RD058",2008 abr,379
"1235","RD058",2008 jul,13.5
"1236","RD058",2008 out,14.3
"1237","RD058",2009 jan,379
"1238","RD058",2009 abr,126
"1239","RD058",2009 jul,19.4
"1240","RD058",2009 out,23.2
"1241","RD058",2010 fev,18.2
"1242","RD058",2010 abr,26.7
"1243","RD058",2010 jul,10.4
"1244","RD058",2010 out,12.2
"1245","RD058",2011 jan,51
"1246","RD058",2011 abr,32.5
"1247","RD058",2011 jul,13.4
"1248","RD058",2011 out,18.4
"1249","RD058",2012 jan,39.7
"1250","RD058",2012 abr,39.3
"1251","RD058",2012 jul,13.5
"1252","RD058",2012 out,25.9
"1253","RD058",2013 jan,76.3
"1254","RD058",2013 abr,56
"1255","RD058",2013 jun,17.1
"1256","RD058",2013 jul,8.16
"1257","RD058",2013 ago,6.82
"1258","RD058",2013 set,9.12
"1259","RD058",2013 out,24.6
"1260","RD058",2013 nov,34.5
"1261","RD058",2013 dez,53.6
"1262","RD058",2014 jan,45.4
"1263","RD058",2014 fev,22.3
"1264","RD058",2014 mar,157
"1265","RD058",2014 abr,23.8
"1266","RD058",2014 mai,6.11
"1267","RD058",2014 jun,8.43
"1268","RD058",2014 jul,4.18
"1269","RD058",2014 ago,3.54
"1270","RD058",2014 set,2.83
"1271","RD058",2014 out,4.27
"1272","RD058",2014 nov,147
"1273","RD058",2014 dez,62.5
"1274","RD058",2015 jan,4.97
"1275","RD058",2015 fev,18
"1276","RD058",2015 mar,100
"1277","RD058",2015 abr,10.2
"1278","RD058",2015 mai,10.1
"1279","RD058",2015 jun,3.58
"1280","RD058",2015 jul,3.64
"1281","RD058",2015 ago,2.72
"1282","RD058",2015 set,4.31
"1283","RD058",2015 out,1.67
"1284","RD058",2015 dez,4228
"1285","RD058",2016 jan,9168
"1286","RD058",2016 mar,188
"1287","RD058",2016 abr,19.8
"1288","RD058",2016 mai,19.6
"1289","RD058",2016 jun,16
"1290","RD058",2016 jul,8.93
"1291","RD058",2016 ago,11.1
"1292","RD058",2016 set,26.8
"1293","RD058",2016 out,11.7
"1294","RD058",2016 nov,2.84
"1295","RD058",2016 dez,363
"1296","RD058",2017 jan,97.6
"1297","RD058",2017 fev,101
"1298","RD058",2017 jul,5.59
"1299","RD058",2017 ago,6.44
"1300","RD058",2017 set,4.21
"1301","RD058",2017 out,2.99
"1302","RD058",2017 nov,108
"1303","RD058",2017 dez,1025
"1304","RD058",2018 jan,24.8
"1305","RD058",2018 fev,919
"1306","RD058",2018 mar,194
"1307","RD058",2018 abr,48.8
"1308","RD058",2018 mai,26.8
"1309","RD058",2018 jun,11.8
"1310","RD058",2018 jul,5.44
"1311","RD058",2018 ago,8.37
"1312","RD058",2018 set,5.27
"1313","RD058",2018 out,17.7
"1314","RD058",2018 nov,43.4
"1315","RD058",2018 dez,147
"1316","RD058",2019 jan,9.74
"1317","RD058",2019 fev,91.2
"1318","RD058",2019 mar,95.7
"1319","RD058",2019 abr,40.1
"1320","RD058",2019 mai,9.47
"1321","RD058",2019 jun,5.53
"1322","RD058",2019 jul,3.17
"1323","RD058",2019 ago,3.73
"1324","RD058",2019 set,4.45
"1325","RD058",2019 out,2.05
"1326","RD058",2019 nov,31.7
"1327","RD058",2019 dez,183
"1328","RD058",2020 jan,1346
"1329","RD058",2020 fev,134
"1330","RD058",2020 mar,440
"1331","RD058",2020 mai,53.4
"1332","RD058",2020 jun,36.4
"1333","RD058",2020 jul,12.5
"1334","RD058",2020 ago,9.49
"1335","RD058",2020 set,5.3
"1336","RD058",2020 out,30.9
"1337","RD058",2020 nov,42.1
"1338","RD058",2020 dez,134
"1339","RD058",2021 jan,32.4
"1340","RD058",2021 fev,374
"1341","RD058",2021 mar,145
"1342","RD058",2021 abr,26.5
"1343","RD058",2021 mai,14.6
"1344","RD058",2021 jun,8.52
"1345","RD058",2021 jul,4.9
"1346","RD058",2021 ago,3.93
"1347","RD058",2021 set,4.77
"1348","RD058",2021 out,69.2
"1349","RD058",2021 nov,140
"1350","RD058",2021 dez,408
"1351","RD058",2022 jan,152
"1352","RD058",2022 fev,1251
"1353","RD058",2022 mar,71.3
"1354","RD058",2022 abr,73.8
"1355","RD058",2022 mai,39.1
"1356","RD058",2022 jun,13.9
"1357","RD059",1997 set,10
"1358","RD059",1997 nov,20
"1359","RD059",1998 mar,45
"1360","RD059",1998 set,6.65
"1361","RD059",1998 nov,99.8
"1362","RD059",1999 mar,47.2
